city,state,pop
Sarasota,FL,55118
Savannah,GA,145674
Schaumburg,IL,74693
Schenectady,NY,65305
Scottsdale,AZ,236839
Scranton,PA,77118
Seattle,WA,684451
Shawnee,KS,65046
Shoreline,WA,55439
Shreveport,LA,197204
Simi Valley,CA,126788
Sioux City,IA,82821
Sioux Falls,SD,171544
Skokie,IL,64821
Smyrna,GA,56146
Somerville,MA,80318
South Bend,IN,101516
South Gate,CA,96401
South Jordan,UT,66648
South San Francisco,CA,67271
Southaven,MS,52589
Southfield,MI,73156
Sparks,NV,96094
Spokane Valley,WA,94919
Spokane,WA,213272
Springdale,AR,77859
Springfield,IL,116565
Springfield,MA,154341
Springfield,MO,166810
Springfield,OH,59680
Springfield,OR,60870
St. Charles,MO,68796
St. Clair Shores,MI,59903
St. Cloud,MN,67109
St. George,UT,80202
St. Joseph,MO,76596
St. Louis,MO,315685
St. Paul,MN,300851
St. Peters,MO,56971
St. Petersburg,FL,257083
Stamford,CT,128874
Sterling Heights,MI,132052
Stockton,CA,305658
Suffolk,VA,88161
Sugar Land,TX,88156
Sunnyvale,CA,151754
Sunrise,FL,92700
Surprise,AZ,128422
Syracuse,NY,144142
Tacoma,WA,207948
Tallahassee,FL,189907
Tamarac,FL,64681
Tampa,FL,369075
Taunton,MA,56789
Taylor,MI,61568
Taylorsville,UT,60514
Temecula,CA,112011
Tempe,AZ,175826
Temple,TX,72277
Terre Haute,IN,60825
Thornton,CO,133451
Thousand Oaks,CA,129339
Tigard,OR,51253
Tinley Park,IL,57143
Toledo,OH,279789
Topeka,KS,127265
Torrance,CA,148475
Tracy,CA,87075
Trenton,NJ,84225
Troy,MI,83280
Tucson,AZ,531641
Tulare,CA,62315
Tulsa,OK,403505
Turlock,CA,72292
Tuscaloosa,AL,98332
Tustin,CA,80583
Tyler,TX,103700
Union City,CA,74494
Union City,NJ,69156
Upland,CA,76443
Urban Honolulu,HI,352769
Utica,NY,61100
Vacaville,CA,96803
Valdosta,GA,55724
Vallejo,CA,121253
Vancouver,WA,172860
Victoria,TX,67574
Victorville,CA,122225
Vineland,NJ,60818
Virginia Beach,VA,452745
Visalia,CA,130104
Vista,CA,100890
Waco,TX,132356
Walnut Creek,CA,68910
Waltham,MA,63378
Warner Robins,GA,73490
Warren,MI,135358
Warwick,RI,81699
Washington,DC,672228
Waterbury,CT,108802
Waterloo,IA,68460
Watsonville,CA,53628
Waukegan,IL,88475
Waukesha,WI,71970
Wellington,FL,62560
West Allis,WI,60620
West Covina,CA,108484
West Des Moines,IA,64113
West Haven,CT,54927
West Jordan,UT,111946
West New York,NJ,53366
West Palm Beach,FL,106779
West Sacramento,CA,52721
West Valley City,UT,136208
Westland,MI,82000
Westminster,CA,92114
Westminster,CO,113130
Weston,FL,69959
Weymouth Town,MA,55957
Wheaton,IL,53715
White Plains,NY,58459
Whittier,CA,87438
Wichita Falls,TX,104710
Wichita,KS,389965
Wilmington,DE,71948
Wilmington,NC,115933
Winston-Salem,NC,241218
Woodbury,MN,67855
Woodland,CA,58567
Worcester,MA,184815
Wyoming,MI,75275
Yakima,WA,93701
Yonkers,NY,201116
Yorba Linda,CA,67973
Youngstown,OH,64628
Yuba City,CA,66941
Yucaipa,CA,53328
Yuma,AZ,94139
